"Title","COG Category","Essentiality","Function","GO IDs","Pathway","Product","Short Name","Synonyms"
"CD630_02150","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0004803, GO:0006313","","Transposase IS200/IS605-like OrfA","",""
"CD630_02160","INFORMATION STORAGE AND PROCESSING","","","","","Transposase IS200/IS605-like OrfB","",""
"CD630_02170","METABOLISM","","","GO:0016491","","Putative nitroreductase","",""
"CD630_02180","METABOLISM","","Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR). ","GO:0006189, GO:0016829, GO:0034023","Purine metabolism","Phosphoribosylaminoimidazole carboxylasecatalytic subunit","purE",""
"CD630_02190","METABOLISM","","","GO:0004639, GO:0005524, GO:0006189, GO:0009236","Purine metabolism","Phosphoribosylaminoimidazole-succinocarboxamidesynthase","purC",""
"CD630_02200","METABOLISM","","Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine. ","GO:0000287, GO:0004044, GO:0006189, GO:0006541, GO:0009113, GO:0009116, GO:0051539","Purine metabolism","Amidophosphoribosyltransferase","purF",""
"CD630_02210","METABOLISM","","","GO:0004641, GO:0005524, GO:0005737, GO:0006189","Purine metabolism","Phosphoribosylformylglycinamidine cyclo-ligase","purG","purM"
"CD630_02220","METABOLISM","","Catalyzes the transfer of a formyl group from 10-formyltetrahydrofolate to 5-phospho-ribosyl-glycinamide (GAR), producing 5-phospho-ribosyl-N-formylglycinamide (FGAR) and tetrahydrofolate. ","GO:0004644, GO:0006189","Purine metabolism","Phosphoribosylglycinamide formyltransferase","purN",""
"CD630_02230","METABOLISM","","","GO:0003937, GO:0004643, GO:0006189","Purine metabolism","Bifunctional purine biosynthesis protein purH[Includes: Phosphoribosylaminoimidazolecarboxamideformyltransferase ; IMP cyclohydrolase]","purH",""
"CD630_02240","METABOLISM","","","GO:0004637, GO:0005524, GO:0006189, GO:0009113, GO:0046872","Purine metabolism","Phosphoribosylamine--glycine ligase","purD",""
"CD630_02250","METABOLISM","","","GO:0004642, GO:0005524, GO:0006189, GO:0006541, GO:0046872","Purine metabolism","Phosphoribosylformylglycinamidine synthase","purL",""
"CD630_02260","CELLULAR PROCESSES AND SIGNALING","","","","","Putative lytic transglycosylase","",""
"CD630_02270","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_02280","CELLULAR PROCESSES AND SIGNALING","","","GO:0003774, GO:0006935, GO:0009425, GO:0071973","","Flagellar motor switch protein FliN","fliN",""
"CD630_02300","POORLY CHARACTERIZED","","","GO:0044780","","Putative flagellar biosynthesis protein","",""
"CD630_02310","CELLULAR PROCESSES AND SIGNALING","","","GO:0005198, GO:0005576, GO:0009424, GO:0044780, GO:0071973","","Flagellar hook-associated protein FlgK (or HAP1)","flgK",""
"CD630_02320","CELLULAR PROCESSES AND SIGNALING","","","GO:0005198, GO:0009424, GO:0071973","","Flagellar hook-associated protein FlgL (or HAP3)","flgL",""
"CD630_02330","CELLULAR PROCESSES AND SIGNALING","","Acts as an anti-CsrA protein, binds CsrA and prevents it from repressing translation of its target genes, one of which is flagellin. Binds to flagellin and participates in the assembly of the flagellum. ","GO:0005737, GO:0006417, GO:0044780","","Flagellar assembly factor FliW","fliW",""
"CD630_02340","CELLULAR PROCESSES AND SIGNALING","","A translational regulator that binds mRNA to regulate translation initiation and/or mRNA stability. Usually binds in the 5'-UTR at or near the Shine-Dalgarno sequence preventing ribosome-binding, thus repressing translation. Its main target seems to be the major flagellin gene, while its function is anatagonized by FliW. ","GO:0005737, GO:0006109, GO:0006402, GO:0044781, GO:0045947, GO:0048027, GO:1902208","","Carbon storage regulator","csrA",""
"CD630_02350","CELLULAR PROCESSES AND SIGNALING","","","GO:0005829, GO:0044780","","Flagellar protein FliS1","fliS1",""
"CD630_02360","CELLULAR PROCESSES AND SIGNALING","","","GO:0044780","","Flagellar protein FliS2","fliS2",""
"CD630_02370","CELLULAR PROCESSES AND SIGNALING","","Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end. ","GO:0005576, GO:0007155, GO:0009421, GO:0009424, GO:0071973","","Flagellar hook-associated protein 2 FliD (orHAP2)","fliD",""
"CD630_02390","CELLULAR PROCESSES AND SIGNALING","","Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella. ","GO:0005198, GO:0005576, GO:0009420, GO:0071973","","Flagellin C","fliC",""
"CD630_02400","CELLULAR PROCESSES AND SIGNALING","","","GO:0016757","","Glycosyltransferase","",""
"CD630_02410","METABOLISM","","","GO:0004647","","Phosphate-threonine kinase","",""
"CD630_02420","CELLULAR PROCESSES AND SIGNALING","","","GO:0016740","","Phosphothreonine N-acetylglucosamine catalysis","",""
"CD630_02430","POORLY CHARACTERIZED","","","GO:0008168, GO:0032259","","Methyltransferase","",""
"CD630_02440","POORLY CHARACTERIZED","","","GO:0016021, GO:0047355","","Putative CDP-glycerol:Poly(glycerophosphate)glycerophosphotransferase","",""
"CD630_02450","CELLULAR PROCESSES AND SIGNALING","","","GO:0030694, GO:0071973","","Flagellar basal-body rod protein FlgB","flgB",""
"CD630_02460","CELLULAR PROCESSES AND SIGNALING","","","GO:0030694, GO:0071973","","Flagellar basal-body rod protein FlgC","flgC",""
"CD630_02470","CELLULAR PROCESSES AND SIGNALING","","","GO:0003774, GO:0005198, GO:0009425, GO:0071973","","Flagellar hook-basal body complex protein FliE","fliE",""
"CD630_02480","CELLULAR PROCESSES AND SIGNALING","","The M ring may be actively involved in energy transduction. ","GO:0003774, GO:0009431, GO:0016021, GO:0071973","","Flagellar M-ring protein FliF","fliF",""
"CD630_02490","CELLULAR PROCESSES AND SIGNALING","","","GO:0003774, GO:0006935, GO:0009288, GO:0071973","","Flagellar motor switch protein FliG","fliG",""
"CD630_02500","CELLULAR PROCESSES AND SIGNALING","","","","","Flagellar assembly protein FliH","fliH",""
"CD630_02510","CELLULAR PROCESSES AND SIGNALING, CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0005737, GO:0009058, GO:0016887, GO:0030254, GO:0030257, GO:0044780, GO:0046034, GO:0071973, GO:1902600","","ATP synthase subunit beta FliI","fliI",""
"CD630_02520","CELLULAR PROCESSES AND SIGNALING","","","GO:0009288, GO:0071973","","Flagellar protein FliJ","fliJ",""
"CD630_02530","CELLULAR PROCESSES AND SIGNALING","","","","","Flagellar hook-length control protein FliK","fliK",""
"CD630_02540","CELLULAR PROCESSES AND SIGNALING","","Required for flagellar hook formation. May act as a scaffolding protein. ","GO:0044781","","Basal-body rod modification protein FlgD","flgD",""
"CD630_02550","CELLULAR PROCESSES AND SIGNALING","","","GO:0009425, GO:0071973","","Flagellar hook protein FlgE (Distal rod protein)","flgE",""
"CD630_02551","CELLULAR PROCESSES AND SIGNALING","","","GO:0071978","","Flagellar protein FlbD","FlbD",""
"CD630_02560","CELLULAR PROCESSES AND SIGNALING","","","GO:0016021","","Flagellar motor rotation protein MotA","motA",""
"CD630_02570","CELLULAR PROCESSES AND SIGNALING","","","GO:0016021","","Flagellar motor rotation protein MotB (Chemotaxisprotein MotB)","motB",""
"CD630_02580","CELLULAR PROCESSES AND SIGNALING","","Controls the rotational direction of flagella during chemotaxis. ","GO:0005886, GO:0006935, GO:0009425, GO:0016021, GO:0071973","","Flagellar basal body-associated protein FliL","fliL",""
"CD630_02590","CELLULAR PROCESSES AND SIGNALING","","","GO:0016021","","Flagellar protein FliZ","fliZ",""
"CD630_02600","CELLULAR PROCESSES AND SIGNALING","","Plays a role in the flagellum-specific transport system. ","GO:0005886, GO:0009306, GO:0009425, GO:0016021, GO:0044781","","Flagellar biosynthesis protein FliP","fliP",""
"CD630_02610","CELLULAR PROCESSES AND SIGNALING","","Role in flagellar biosynthesis. ","GO:0005886, GO:0009306, GO:0009425, GO:0016021, GO:0044780","","Flagellar biosynthetic protein FliQ","fliQ",""
"CD630_02620","CELLULAR PROCESSES AND SIGNALING","","Role in flagellar biosynthesis. ","GO:0005886, GO:0006605, GO:0009306, GO:0009425, GO:0016021, GO:0044780","","Bifunctional flagellar biosynthesis proteinFliR/FlhB","flhB",""
"CD630_02630","CELLULAR PROCESSES AND SIGNALING","","Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin. ","GO:0005886, GO:0009306, GO:0016021, GO:0044780","","Flagellar biosynthesis protein FlhA","flhA",""
"CD630_02640","CELLULAR PROCESSES AND SIGNALING","","","GO:0003924, GO:0005525, GO:0006614, GO:0044781","","Flagellar biosynthesis regulator FlhF(Flagella-associated GTP-binding protein)","flhF",""
"CD630_02650","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524","","Flagellar number regulator FlhG","flhG",""
"CD630_02660","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003700, GO:0003899, GO:0006352, GO:0016987","","RNA polymerase sigma-28 factor for flagellaroperon","sigD",""
"CD630_02680","CELLULAR PROCESSES AND SIGNALING","","","GO:0009425, GO:0071973","","Flagellar hook-basal body complex protein FlgG1","flgG1",""
"CD630_02690","CELLULAR PROCESSES AND SIGNALING","","","GO:0009425, GO:0071973","","Flagellar basal body rod protein FlgG","flgG",""
"CD630_02700","CELLULAR PROCESSES AND SIGNALING","","","GO:0003774, GO:0009425, GO:0071973","","Flagellar motor switch protein FliM","fliM",""
"CD630_02710","CELLULAR PROCESSES AND SIGNALING","","","GO:0003774, GO:0006935, GO:0009425, GO:0071973","","Flagellar motor switch phosphatase FliN","fliN",""
"CD630_02720","POORLY CHARACTERIZED","","","GO:0016021","","Conserved hypothetical protein","",""
"CD630_02730","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0006457, GO:0051082","","Heat shock protein 90 (Heat shock proteinHtpG)(High temperature protein G)","htpG",""
"CD630_02740","METABOLISM","","","GO:0016491, GO:0046872","","Putative iron-containing alcohol dehydrogenase","",""
"CD630_02750","INFORMATION STORAGE AND PROCESSING","","","GO:0003913, GO:0051536, GO:1904047","","Spore photoproduct (thymine dimer) lyase, radicalS-adenosylmethionine superfamily","splB",""
"CD630_02760","INFORMATION STORAGE AND PROCESSING","","","GO:0003700, GO:0043565","","Transcriptional regulator, AraC family","",""
"CD630_02770","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_02780","INFORMATION STORAGE AND PROCESSING","","","","","Transcriptional regulator, hxlR family","",""
"CD630_02790","POORLY CHARACTERIZED","","","GO:0048037","","Conserved hypothetical protein","",""
"CD630_02791","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_02820","METABOLISM","","","GO:0016787","","Putative PHP hydrolase","",""
"CD630_02830","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0006355, GO:0008134, GO:0009401, GO:0016021","","Transcription antiterminator, PTS operonregulator","",""
"CD630_02840","METABOLISM","","","GO:0009401, GO:0016021","","PTS system, mannose/fructose/sorbose IIAcomponent","",""
"CD630_02850","METABOLISM","","","GO:0005737, GO:0008982, GO:0009401, GO:0103111","","PTS system, mannose/fructose/sorbose IIBcomponent","",""
"CD630_02870","METABOLISM","","","GO:0005737, GO:0008982, GO:0009401, GO:0103111","","PTS system, mannose/fructose/sorbose IIBcomponent","",""
"CD630_02880","METABOLISM","","","GO:0009401, GO:0016021","","PTS system, mannose/fructose/sorbose IICcomponent","",""
"CD630_02890","METABOLISM","","","GO:0009401, GO:0016021","","PTS system, mannose/fructose/sorbose IIDcomponent","",""
"CD630_02900","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_02910","METABOLISM","","","GO:0008270, GO:0016805","","Putative peptidase, M20A family","",""
"CD630_02920","INFORMATION STORAGE AND PROCESSING","","","GO:0003677","","Transcriptional regulator, HTH-type","",""
"CD630_02921","POORLY CHARACTERIZED","","","GO:0016021","","Conserved hypothetical protein","",""
"CD630_02930","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016887","","ABC-type transport system,bacitracin/multidrug-family ATP-binding protein","",""
"CD630_02940","POORLY CHARACTERIZED","","","GO:0016021","","ABC-type transport system,bacitracin/multidrug-family permease","",""
"CD630_02950","METABOLISM","","","","","Putative iron-sulfur-binding protein","",""
"CD630_02970","METABOLISM","","Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical-based mechanism. ","GO:0004076, GO:0005506, GO:0009102, GO:0051537, GO:0051539","Cofactor biosynthesis","Biotin synthase","bioB",""
"CD630_02980","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0006355","","Transcriptional regulator, LacI family","rbsR",""
"CD630_02990","METABOLISM","","Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway. ","GO:0004747, GO:0005524, GO:0005737, GO:0019303, GO:0046872","Carbohydrate metabolism","Ribokinase, pfkB family","rbsK",""
"CD630_03000","METABOLISM","","","","","ABC-type transport system, ribose-specificextracellular solute-binding protein","rbsB",""
"CD630_03010","METABOLISM","","","GO:0005524, GO:0016887","","ABC-type transport system, ribose-specificATP-binding protein","rbsA",""
"CD630_03020","METABOLISM","","","GO:0005886, GO:0016021, GO:0022857","","ABC-type transport system, ribose-specificpermease","rbsC",""
"CD630_03030","METABOLISM","","","GO:0008777","","Acetylornithine deacetylase ArgE","argE",""
"CD630_03040","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein, DUF1355 family","",""
"CD630_03050","METABOLISM","","","GO:0004180","","Putative glutamate carboxypeptidase","",""
"CD630_03060","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03070","POORLY CHARACTERIZED","","","","","Putative chaperone protein","",""
"CD630_03080","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein","",""
"CD630_03090","METABOLISM","","","GO:0016787","","Putative hydrolase, HAD superfamily, subfamilyIB","",""
"CD630_03100","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03120","INFORMATION STORAGE AND PROCESSING","","","GO:0003700","","Transcriptional regulator, ArsR family","",""
"CD630_03130","METABOLISM","","","GO:0005524, GO:0005886, GO:0016021, GO:0016787, GO:0019829, GO:0030001, GO:0046872","","Putative K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transportingP-type ATPase","",""
"CD630_03140","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein","",""
"CD630_03160","POORLY CHARACTERIZED","","","GO:0016021","","ABC-type transport system, permease","",""
"CD630_03170","POORLY CHARACTERIZED","","","GO:0016021","","ABC-type transport system, permease","",""
"CD630_03180","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016887","","ABC-type transport system,bacitracin/multidrug-family ATP-binding protein","",""
"CD630_03190","CELLULAR PROCESSES AND SIGNALING","","","GO:0000155, GO:0005524, GO:0016021","","Two-component sensor histidine kinase","",""
"CD630_03200","CELLULAR PROCESSES AND SIGNALING","","","GO:0000160, GO:0003677, GO:0006355","","Two-component response regulator","",""
"CD630_03210","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03220","POORLY CHARACTERIZED","","","GO:0005524, GO:0016887","","Putative ATPase","",""
"CD630_03230","METABOLISM","","","","","Conserved hypothetical protein","",""
"CD630_03240","METABOLISM","","Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import. ","GO:0009236, GO:0015087, GO:0043190","Cofactor biosynthesis","Cobalamin biosynthesis protein","cbiM",""
"CD630_03250","METABOLISM","","Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import. ","GO:0005886, GO:0009236, GO:0015087, GO:0016021","Cofactor biosynthesis","ABC-type transport system, cobalt-specificextracellular solute-binding protein","cbiN",""
"CD630_03260","METABOLISM","","","GO:0005887, GO:0006824, GO:0043190","","ABC-type transport system, cobalt-specificpermease","cbiQ",""
"CD630_03270","METABOLISM","","Part of an ABC transporter complex. Responsible for energy coupling to the transport system. ","GO:0005524, GO:0005886, GO:0006824, GO:0016887","","ABC-type transport system, cobalt-specificATP-binding protein","cbiO",""
"CD630_03280","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003678, GO:0005524","","DNA helicase, UvrD/REP type","pcrA",""
"CD630_03290","METABOLISM","","","GO:0004177, GO:0008237, GO:0008270","","Putative aminopeptidase I, M18 family","",""
"CD630_03300","POORLY CHARACTERIZED","","","GO:0016042, GO:0016787","","Conserved hypothetical protein","",""
"CD630_03310","CELLULAR PROCESSES AND SIGNALING","","PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. ","GO:0003755","","Peptidyl-prolyl cis-trans isomerase B (PPIase B)(Rotamase B)","ppiB",""
"CD630_03320","CELLULAR PROCESSES AND SIGNALING, CELLULAR PROCESSES AND SIGNALING","","","","","Exosporium glycoprotein","bclA1",""
"CD630_03330","METABOLISM","Yes","","GO:0004427, GO:0005737, GO:0046872","","Putative inorganic pyrophosphatase","ppaC",""
"CD630_03340","METABOLISM","","","GO:0004022, GO:0006066, GO:0008774, GO:0015976, GO:0046872","","Aldehyde-alcohol dehydrogenase","adhE",""
"CD630_03350","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03360","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016887","","ABC-type transport system, ATP-binding protein","",""
"CD630_03370","CELLULAR PROCESSES AND SIGNALING","","","GO:0005886, GO:0016021","","ABC-type transport system, permease","",""
"CD630_03380","CELLULAR PROCESSES AND SIGNALING","","","GO:0000155, GO:0016021","","Two-component sensor histidine kinase","",""
"CD630_03390","CELLULAR PROCESSES AND SIGNALING","","","GO:0000160, GO:0003677","","Two-component response regulator","",""
"CD630_03400","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03410","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03420","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03430","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_03440","POORLY CHARACTERIZED","","","","","Putative beta-lactamase-like protein","",""
"CD630_03450","POORLY CHARACTERIZED","","","GO:0008728, GO:0015969, GO:0016301","","Putative GTP pyrophosphokinase","",""
"CD630_03460","POORLY CHARACTERIZED","Yes","","GO:0016787","","Putative phosphoesterase","",""
"CD630_03500","POORLY CHARACTERIZED","","","GO:0008253, GO:0009264","","Putative hydrolase, HAD superfamily","",""
"CD630_03520","INFORMATION STORAGE AND PROCESSING","","","GO:0003677","","Transcriptional regulator, RmlC-type","",""
"CD630_03530","POORLY CHARACTERIZED","","","GO:0051499","","Conserved hypothetical protein","",""
"CD630_03541","POORLY CHARACTERIZED","","","GO:0016021","","Fragment of putative membrane protein","",""
"CD630_03550","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0006310, GO:0008907","","Integrase Tn916-like, CTn1-Orf1","int",""
"CD630_03560","POORLY CHARACTERIZED","","","GO:0006310, GO:0015074","","Excisionase Tn916-like, CTn1-Orf2","xis",""
"CD630_03580","POORLY CHARACTERIZED","","","","","Putative conjugative transposon proteinTn916-like, CTn1-Orf3","",""
"CD630_03590","POORLY CHARACTERIZED","","","GO:0003677, GO:0003700, GO:0006352, GO:0016987","","Putative RNA polymerase sigma factor Tn916-like,CTn1-Orf4","",""
"CD630_03600","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003700","","Transcriptional regulator, GntR family,Tn916-like, CTn1-Orf5","",""
"CD630_03610","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016021, GO:0016301","","Two-component sensor histidine kinase Tn916-like,CTn1-Orf6","",""
"CD630_03620","CELLULAR PROCESSES AND SIGNALING","","","GO:0000160, GO:0003677, GO:0006355","","Two-component response regulator Tn916-like,CTn1-Orf7","",""
"CD630_03630","CELLULAR PROCESSES AND SIGNALING","","","GO:0016021, GO:0055085","","ABC-type transport system, permease Tn916-like,CTn1-Orf8","",""
"CD630_03640","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016887","","ABC-type transport system, ATP-binding proteinTn916-like, CTn1-Orf9","",""
"CD630_03650","METABOLISM","","","GO:0016021","","ABC-type transport system, multidrug-familypermease Tn916-like, CTn1-Orf10","",""
"CD630_03660","CELLULAR PROCESSES AND SIGNALING","","","GO:0005524, GO:0016887","","ABC-type transport system, multidrug-familyATP-binding protein Tn916-like, CTn1-Orf11","",""
"CD630_03670","CELLULAR PROCESSES AND SIGNALING","","","GO:0000155, GO:0005524","","Two-component sensor histidine kinase,Tn916-like, CTn1-Orf12","",""
"CD630_03680","CELLULAR PROCESSES AND SIGNALING","","","GO:0000160, GO:0003677, GO:0006355","","Two-component response regulator, Tn916-like,CTn1-Orf13","",""
"CD630_03690","POORLY CHARACTERIZED","","","","","Putative conjugative transposon proteinTn916-like, CTn1-Orf14","",""
"CD630_03700","INFORMATION STORAGE AND PROCESSING","","","GO:0003677","","Transcriptional regulator, HTH-type Tn916-like,CTn1-Orf15","",""
"CD630_03710","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn916-like, CTn1-Orf16","",""
"CD630_03720","CELLULAR PROCESSES AND SIGNALING","","","GO:0016787","","Putative cell wall hydrolase Tn916-like,CTn1-Orf17","",""
"CD630_03730","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein Tn916-like, CTn1-Orf18","",""
"CD630_03740","POORLY CHARACTERIZED","","","","","Putative ATPase Tn916-like, CTn1-Orf19","",""
"CD630_03750","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn916-like, CTn1-Orf20","",""
"CD630_03760","POORLY CHARACTERIZED","","","","","Putative antirestriction protein Tn916-like,CTn1-Orf21","",""
"CD630_03770","POORLY CHARACTERIZED","","","","","Putative antirestriction protein Tn916-like,CTn1-Orf22","",""
"CD630_03780","POORLY CHARACTERIZED","","","","","Putative conjugative transposon proteinTn916-like, CTn1-Orf23","",""
"CD630_03790","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn916-like, CTn1-Orf24","",""
"CD630_03800","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn916-like, CTn1-Orf25","",""
"CD630_03810","INFORMATION STORAGE AND PROCESSING","","","GO:0003677, GO:0003743, GO:0003916, GO:0006270","","Putative replication initiation factorTn916-like, CTn1-Orf26","",""
"CD630_03830","CELLULAR PROCESSES AND SIGNALING","","","GO:0003677, GO:0005524, GO:0016021","","Putative cell-division FtsK/SpoIIIE-familyprotein Tn916-like, CTn1-Orf28","",""
"CD630_03840","POORLY CHARACTERIZED","","","","","Putative conjugative transposon protein DUF961family Tn916-like, CTn1-Orf29","",""
"CD630_03850","POORLY CHARACTERIZED","","","","","Putative conjugative transposon protein DUF961family Tn916-like, CTn1-Orf30","",""
"CD630_03860","POORLY CHARACTERIZED","","","GO:0005576, GO:0005618, GO:0016021","","Putative cell surface protein","",""
"CD630_03880","METABOLISM","","","GO:0005886, GO:0008982, GO:0009401, GO:0016021, GO:0016301, GO:0103111","","PTS system, beta-glucoside-specific IIABCcomponent","bglF",""
"CD630_03890","METABOLISM","","","GO:0005975, GO:0008706, GO:0103047","","6-phospho-beta-glucosidase","bglA",""
"CD630_03900","INFORMATION STORAGE AND PROCESSING","","","GO:0003723, GO:0006355","","Transcription antiterminator, PTS operonregulator","bglG",""
"CD630_03910","METABOLISM","","","GO:0004066, GO:0006529","","Asparagine synthetase [glutamine-hydrolyzing]","asnB",""
"CD630_03920","POORLY CHARACTERIZED","","","GO:0003824, GO:0051536","","Putative radical SAM-family protein","",""
"CD630_03930","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein","",""
"CD630_03940","METABOLISM","","","GO:0008720, GO:0051287","","D-lactate dehydrogenase","ldhA",""
"CD630_03950","METABOLISM","","","GO:0008410","","Isocaprenoyl-CoA:2-hydroxyisocaproateCoA-transferase","hadA",""
"CD630_03960","METABOLISM","","","","","Activator of 2-hydroxyisocaproyl-CoA dehydratase","hadI",""
"CD630_03970","METABOLISM","","","","","Subunit of oxygen-sensitive2-hydroxyisocaproyl-CoA dehydratase B","hadB",""
"CD630_03980","METABOLISM","","","","","Subunit of oxygen-sensitive2-hydroxyisocaproyl-CoA dehydratase C","hadC",""
"CD630_03990","METABOLISM","","","GO:0003995, GO:0050660","","Acyl-CoA dehydrogenase, short-chain specific","acdB",""
"CD630_04000","METABOLISM","","","GO:0009055","","Beta-subunit of electron transfer flavoprotein","etfB1",""
"CD630_04010","METABOLISM","","","GO:0009055, GO:0050660","","Alpha-subunit of electron transfer flavoprotein","etfA1",""
"CD630_04020","INFORMATION STORAGE AND PROCESSING","","","GO:0005524, GO:0006355, GO:0008134, GO:0043565","","Transcriptional regulator, sigma-54-dependent","",""
"CD630_04030","METABOLISM","Yes","","GO:0004332, GO:0006096, GO:0008270, GO:0030388","","Fructose-1,6-bisphosphate aldolase","fba",""
"CD630_04040","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein, DUF1904 family","",""
"CD630_04050","INFORMATION STORAGE AND PROCESSING","","","GO:0001522, GO:0003723, GO:0009982, GO:0016829","","Ribosomal small subunit pseudouridine synthase A","rluA",""
"CD630_04060","INFORMATION STORAGE AND PROCESSING","","","GO:0030697","","Putative tRNA (Uracil-5-)-methyltransferase","",""
"CD630_04080","POORLY CHARACTERIZED","","","","","Conserved hypothetical protein","",""
"CD630_04081","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf2","",""
"CD630_04090","INFORMATION STORAGE AND PROCESSING","Yes","","","","Putative replication initiation proteinTn1549-like, CTn2-Orf2","",""
"CD630_04100","INFORMATION STORAGE AND PROCESSING","","","GO:0005524","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf3","",""
"CD630_04110","POORLY CHARACTERIZED","","","","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf4","",""
"CD630_04120","CELLULAR PROCESSES AND SIGNALING","","","GO:0009291, GO:0016020","","Putative conjugative transfer proteinTn1549-like, CTn2-Orf5","",""
"CD630_04130","POORLY CHARACTERIZED","","","GO:0003697","","Putative single-strand DNA-binding proteinTn1549-like, CTn2-Orf7","",""
"CD630_04140","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf8","",""
"CD630_04150","POORLY CHARACTERIZED","","","GO:0016021","","Putative membrane protein Tn1549-like, CTn2-Orf9","",""
"CD630_04160","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf10","",""
"CD630_04170","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf11","",""
"CD630_04180","CELLULAR PROCESSES AND SIGNALING","","","","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf12","",""
"CD630_04190","POORLY CHARACTERIZED","","","GO:0016021","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf13","",""
"CD630_04191","POORLY CHARACTERIZED","","","","","Putative conjugative transposon proteinTn1549-like, CTn2-Orf14","",""
"CD630_04200","POORLY CHARACTERIZED","","","GO:0016021","","Putative cell surface protein Tn1549-like,CTn2-Orf15","",""
"CD630_04210","INFORMATION STORAGE AND PROCESSING","Yes","","GO:0003677, GO:0003917, GO:0006265","","DNA topoisomerase protein, type IA, Tn1549-like,CTn2-Orf16","",""
